5, 0.8065, 2, 0.077
5, 0.8667, 2, 0.084
5, 0.8611, 2, 0.099
5, 0.9062, 2, 0.113
5, 1.0000, 2, 0.078
10, 0.8571, 2, 0.118
10, 0.9310, 2, 0.098
10, 0.9000, 2, 0.094
10, 0.9091, 2, 0.096
10, 0.8710, 2, 0.099
15, 0.9375, 2, 0.098
15, 0.9355, 2, 0.076
15, 0.9333, 2, 0.062
15, 0.9655, 2, 0.095
15, 0.8621, 2, 0.087
20, 0.8125, 2, 0.105
20, 0.9375, 2, 0.086
20, 0.8966, 2, 0.086
20, 0.8966, 2, 0.089
20, 1.0000, 2, 0.085
50, 0.9062, 2, 0.086
50, 0.8462, 2, 0.084
50, 0.8235, 2, 0.089
50, 0.8966, 2, 0.083
50, 0.9143, 2, 0.104
100, 0.9032, 2, 0.095
100, 0.9697, 2, 0.089
100, 0.8529, 2, 0.098
100, 0.8571, 2, 0.083
100, 0.9118, 2, 0.112
